Day,Updated Surprise Link
9,https://santatracker.google.com/elfmaker.html
10,https://kids.nationalgeographic.com/celebrations/article/christmas
11,https://ssec.si.edu/stemvisions-blog/winter-science-activities-kids
12,https://code.org/dance
13,https://scratch.mit.edu/studios/28030275/
14,https://lego.com/themes/lego-builder
15,https://spaceplace.nasa.gov/menu/parents-and-educators/
16,https://artsandculture.google.com/project/holidays
17,https://pbskids.org/games/holiday/
18,https://www.dkfindout.com/us/history/christmas/
19,https://kids.nationalgeographic.com/animals/mammals/facts/reindeer
20,https://santatracker.google.com/presentbounce.html
21,https://toytheater.com/christmas/
22,https://home.oxfordowl.co.uk/reading/reading-schemes-oxford-levels/christmas-reading-activities/
23,https://studio.code.org/s/frozen
24,https://www.noradsanta.org/en/
25,https://santatracker.google.com/village.html
